genre,genre_id
Documentary,1
Action,2
Sci-Fi,3
Drama,4
Mystery,5
Thriller,6
Horror,7
Comedy,8
Romance,9
Adventure,10
Fantasy,11
Family,12
Crime,13
War,14
History,15
Sport,16
Biography,17
Music,18
News,19
Musical,20
Western,21
Animation,22
Talk-Show,23
Adult,24
Short,25
Genre unknown,26
Reality-TV,27
Film-Noir,28
