movie_id,genre_id
7-minutes,13
7-prisoners,4
71,2
71,4
71,6
71,14
71-fragments-of-a-chronology-of-chance,4
7500-2020,2
7500-2020,4
7500-2020,6
76-days,4
76-days,1
7852-hitchcocks-shower-scene,1
8-mile,4
8-mile,18
8-the-mormon-proposition,1
8-women,5
8-women,8
8-women,13
8-women,18
8-women-2000,4
8-women-2000,8
800-bullets,4
800-bullets,8
800-bullets,13
800-bullets,21
88-minutes,4
88-minutes,5
88-minutes,6
9,10
9,3
9,4
9,11
9,22
9-dead-gay-guys,8
9-dead-gay-guys,13
9-songs,4
9-songs,9
9-songs,18
90-minutes-in-heaven,4
95-miles-to-go,8
95-miles-to-go,1
96-minutes,4
96-minutes,6
99-homes,4
99-homes,6
99-the-occupy-wall-street-collaborative-film,1
999,4
999,22
a-bad-moms-christmas,2
a-bad-moms-christmas,10
a-bad-moms-christmas,8
a-bag-of-hammers,4
a-bag-of-hammers,8
a-bag-of-marbles,4
a-band-called-death,1
a-beautiful-day-in-the-neighborhood,17
a-beautiful-day-in-the-neighborhood,4
a-beautiful-life,4
a-beautiful-mind,17
a-beautiful-mind,4
a-better-life,4
a-bigger-splash,4
a-bigger-splash,5
a-bigger-splash,13
a-birders-guide-to-everything,8
a-borrowed-identity,4
a-bottle-in-the-gaza-sea-une-bouteille-s-la-mer,4
a-boy-called-christmas,10
a-boy-called-christmas,4
a-boy-called-christmas,11
a-boy-called-christmas,12
a-brave-heart-the-lizzie-velasquez-story,17
a-brave-heart-the-lizzie-velasquez-story,12
a-brave-heart-the-lizzie-velasquez-story,1
a-bread-factory-part-one-for-the-sake-of-gold,4
a-bread-factory-part-one-for-the-sake-of-gold,8
a-bread-factory-part-two-walk-with-me-a-while,4
a-bread-factory-part-two-walk-with-me-a-while,8
a-brilliant-young-mind,4
a-brilliant-young-mind,8
a-call-to-spy,17
a-call-to-spy,4
a-call-to-spy,6
a-call-to-spy,13
a-call-to-spy,14
a-case-of-you,8
a-case-of-you,9
a-cat-in-paris,8
a-cat-in-paris,13
a-cat-in-paris,22
a-cat-in-paris,12
a-cause-dun-garcon,4
a-christmas-carol,4
a-christmas-carol,11
a-christmas-carol,22
a-christmas-carol,12
a-christmas-tale,4
a-christmas-tale,8
a-ciambra,4
a-cinderella-story,8
a-cinderella-story,9
a-cinderella-story,12
a-coffee-in-berlin,4
a-common-thread,4
a-common-thread,9
a-cop-movie,4
a-country-called-home,4
a-crooked-somebody,4
a-crooked-somebody,6
a-cure-for-wellness,3
a-cure-for-wellness,4
a-cure-for-wellness,5
