movie_id,url,title,genre,metascore,userscore,RelDate,rating_id
spider-man-into-the-spider-verse,https://www.metacritic.com/movie/spider-man-into-the-spider-verse,Spider-Man: Into the Spider-Verse,"Action,Adventure,Sci-Fi,Comedy,Animation,Family",87,8.6,2018-12-14,1
spider-man-no-way-home,https://www.metacritic.com/movie/spider-man-no-way-home,Spider-Man: No Way Home,"Action,Adventure,Sci-Fi",71,8.9,2021-12-17,1
spies-in-disguise,https://www.metacritic.com/movie/spies-in-disguise,Spies in Disguise,"Action,Adventure,Sci-Fi,Comedy,Animation,Family",54,7.0,2019-12-25,1
spinning-into-butter,https://www.metacritic.com/movie/spinning-into-butter,Spinning Into Butter,Drama,20,5.3,2009-03-27,2
spinning-man,https://www.metacritic.com/movie/spinning-man,Spinning Man,"Drama,Mystery,Thriller",44,5.8,2018-04-06,2
spinning-plates,https://www.metacritic.com/movie/spinning-plates,Spinning Plates,Documentary,65,,2013-10-25,0
spinster,https://www.metacritic.com/movie/spinster,Spinster,Comedy,56,,2020-08-07,0
spiral-2002,https://www.metacritic.com/movie/spiral-2002,Spiral,Horror,62,6.1,2002-05-01,0
spiral-from-the-book-of-saw,https://www.metacritic.com/movie/spiral-from-the-book-of-saw,Spiral: From the Book of Saw,"Mystery,Thriller,Horror,Crime",40,5.3,2021-05-14,2
spirit-stallion-of-the-cimarron,https://www.metacritic.com/movie/spirit-stallion-of-the-cimarron,Spirit: Stallion of the Cimarron,"Adventure,Romance,Western,Animation,Family",52,7.7,2002-05-24,3
spirit-untamed,https://www.metacritic.com/movie/spirit-untamed,Spirit Untamed,"Adventure,Western,Animation,Family",49,4.2,2021-06-04,1
spirited-away,https://www.metacritic.com/movie/spirited-away,Spirited Away,"Adventure,Fantasy,Animation,Family",96,9.0,2002-09-20,1
splice,https://www.metacritic.com/movie/splice,Splice,"Sci-Fi,Thriller,Horror",66,5.6,2010-06-04,2
splinter,https://www.metacritic.com/movie/splinter,Splinter,"Drama,Thriller,Horror",58,6.8,2008-10-31,2
splinterheads,https://www.metacritic.com/movie/splinterheads,Splinterheads,Comedy,41,7.8,2009-11-06,2
splinters,https://www.metacritic.com/movie/splinters,Splinters,"Sport,Documentary",63,,2012-01-31,0
split,https://www.metacritic.com/movie/split,Split,"Thriller,Horror",62,7.0,2017-01-20,1
spoken-word,https://www.metacritic.com/movie/spoken-word,Spoken Word,Drama,56,,2010-07-23,0
spontaneous,https://www.metacritic.com/movie/spontaneous,Spontaneous,"Sci-Fi,Fantasy,Comedy",78,6.7,2020-10-02,2
spoor,https://www.metacritic.com/movie/spoor,Spoor,"Drama,Mystery,Thriller,Comedy,Crime",67,,2021-01-22,0
spotlight,https://www.metacritic.com/movie/spotlight,Spotlight,"Biography,Drama,History,Thriller",93,8.2,2015-11-06,2
spread,https://www.metacritic.com/movie/spread,Spread,"Drama,Comedy,Romance",43,5.3,2009-08-14,2
