movie_id,title,release_date,metascore,userscore,production_budget,worldwide_box_office,rating_id
poveri-ma-ricchi-(italy),Poveri ma Ricchi,2016-12-16,,,,7259767.0,
nuo-lietuvos-nepabegsi-(lithuania),Nuo Lietuvos nepabÃ„â€”gsi,2016-11-18,,,,2465.0,
somewhere-connected-(china)-(2016),Somewhere Connected,2016-12-09,,,,19291.0,
peor-de-los-deseos-lo-(bolivia)-(2018),Lo peor de los deseos,2018-11-29,,,,,
pere-fils-therapie-(france),PÃƒÂ¨re fils thÃƒÂ©rapie!,2016-12-30,,,,1453270.0,
di-qiu-zui-hou-de-ye-wang-(china)-(2018),Di Qiu Zui Hou De Ye Wang,2018-04-12,,,,42140730.0,
doktor-martin-zahada-v-beskydech-(cz)(2018),Doktor Martin: ZÃƒÂ¡hada v Beskydech,2018-12-07,,,,31651.0,
battle-of-tortoise-and-rabbit-(china)-(2018),Battle of Tortoise and Rabbit,2018-12-30,,,,1494779.0,
alibaba-the-three-golden-hair-(china)(2018),Alibaba The Three Golden Hair,2018-12-30,,,,1476950.0,
duan-pian-er-(china)(2018),Duan Pian Er,2018-12-29,,,,7423443.0,
yun-nan-chong-gu-yunnan-valley-(china)-(2018),Yun Nan Chong Gu Yunnan Valley,2018-01-04,,,,22369964.0,
two-small-pigs-brave-the-mysterious-island-(china)-(2018),Two Small Pigs Brave The Mysterious Island,2018-12-30,,,,744017.0,
trolled-(2018),Trolled,2018-12-28,,,,32834.0,
tiempo-despues-(spain)-(2018),Tiempo despuÃƒÂ©s,2018-12-28,,,,1736358.0,
stan-and-ollie-(2018),Stan & Ollie,2018-12-28,,,10000000.0,29062674.0,
work-wife-the-(2018),The Work Wife,2018-12-28,,,,,
tarp-musu-mergaiciu-(lithuania)(2018),Tarp mÃ…Â«sÃ…Â³ mergaiÃ„ï¿½iÃ…Â³,2018-12-28,,,,666106.0,
trilece-(turkey)-(2018),TrileÃƒÂ§e,2018-12-28,,,,54.0,
rio-mekong-(argentina)-(2018),Rio Mekong,2018-12-28,,,,453.0,
simmba-(india)-(2018),Simmba,2018-12-28,,,,7357518.0,
pech-to-nie-grzech-(poland)-(2018),Pech to nie grzech,2018-12-28,,,,2042938.0,
musaadenizle-buyukler-(turkey)-(2018),MÃƒÂ¼saadenizle BÃƒÂ¼yÃƒÂ¼kler,2018-12-28,,,,45185.0,
most-beautiful-season-the-(china)-(2018),The Most Beautiful Season,2018-12-28,,,,218412.0,
shou-ji-kuang-xiang-(china)(2018),Shou Ji Kuang Xiang,2018-12-28,,,,94951615.0,
one-shot-(argentina)-(2018),One Shot,2018-12-28,,,,1127.0,
konna-yofuke-ni-banana-kayo-kanashiki-jitsuwa-(japan)-(2018),Konna Yofuke Ni Banana Kayo: Kanashiki Jitsuwa,2018-12-28,,,,8652004.0,
njan-prakashan-(india)(2018),Njan Prakashan,2018-12-28,,,,57375.0,
minha-vida-em-marte-(brazil)-(2018),Minha Vida em Marte,2018-12-28,,,,21105636.0,
k-g-f-chapter-1-(india)(2018),K.G.F: Chapter 1,2018-12-28,,,,27179.0,
kleine-drache-kokosnuss-auf-in-den-dschungel-der-(germany)-(2018),Der kleine Drache Kokosnuss - Auf in den Dschungel!,2018-12-28,,,,1866262.0,
jeombaki-hanbandoeui-gongryong-2-saeroun-nakwon-(south-korea)-(2018),jeombaki hanbandoeui gongryong 2 saeroun nakwon,2018-12-28,,,,3783492.0,
chef-(turkey)-(2018),Chef,2018-12-28,,,,94.0,
benji-(uae)-(2018),Benji,2018-12-28,,,6000000.0,585333.0,
t34-(russia)(2018),T-34,2018-12-27,,,10000000.0,39526616.0,
boru-(turkey)-(2018),BÃƒÂ¶rÃƒÂ¼,2018-12-28,,,,1441948.0,
junge-muss-an-die-frische-luft-der-(germany)(2018),Der Junge muss an die frische Luft,2018-12-27,,,,31920181.0,
yolki-posledniye-(russia)(2018),Yolki Posledniye,2018-12-27,,,,11499494.0,
cuando-brillan-las-estrellas-(argentina)-(2018),Cuando Brillan las Estrellas,2018-12-28,,,,2506.0,
au-bout-des-doigts-(france)-(2018),Au bout des doigts,2018-12-27,,,,3712903.0,
violent-desir-de-bonheur-un-(france)-(2018),Un violent dÃƒÂ©sir de bonheur,2018-12-26,,,,,
befana-vien-di-notte-la-(italy)-(2018),La befana vien di notte,2018-12-27,,,,9166973.0,
pmc-deo-beong-keo-(south-korea)-(2018),PMC: deo beong-keo,2018-01-04,,,10300000.0,12478635.0,
moschettieri-del-re-la-penultima-missione-(italy)-(2018),Moschettieri del Re - La penultima missione,2018-12-27,,,,5728962.0,
mult-v-kino-vypusk-no-87-(russia)-(2018),Mult v. Kino Vypusk No. 87,2018-12-22,,,,100689.0,
homme-fidele-l-(france)-(2018),L'homme fidÃƒÂ¨le,2018-07-19,,,,1939709.0,
perfectos-desconocidos-(mexico)-(2018),Perfectos desconocidos,2018-01-11,,,,7895346.0,
zerk-(turkey)-(2018),Zerk,2018-12-21,,,,8785.0,
destroyer-(2018),Destroyer,2018-12-25,,,9000000.0,5865489.0,
zero-(india)-(2018),Zero,2018-12-21,,,,1995127.0,
yanimda-kal-(turkey)-(2018),YanÃ„Â±mda Kal,2018-12-21,,,,69938.0,
ye-wen-hui-chuan-zhang-tianzhi-(hong-kong)-(2018),Ye Wen hui chuan: Zhang Tianzhi,2018-04-12,,,,19781947.0,
mia-et-le-lion-blanc-(france)(2018),Mia et le lion blanc,2018-04-12,,,,34299855.0,
wu-lin-guai-shou-(hong-kong)(2018),Wu Lin Guai Shou,2018-12-21,,,,11573104.0,
kamen-raida-heisei-jenereshonzu-foeba-(japan)-(2018),Kamen RaidÃƒÂ¢ Heisei JenerÃƒÂªshonzu FoebÃƒÂ¢,2018-12-22,,,,12465928.0,
welcome-to-marwen-(2018),Welcome to Marwen,2018-12-21,,,45000000.0,13086137.0,
vergara-(argentina)-(2018),Vergara,2018-12-21,,,,3695.0,
vice-(2018),Vice,2018-12-25,,,60000000.0,70893782.0,
tian-qi-yu-bao-(china)(2018),Tian Qi Yu Bao,2018-12-21,,,,18485628.0,
soul-of-shui-people-in-1944-the-(china)-(2018),The Soul of Shui People in 1944,2018-12-21,,,,599574.0,
snezhnaya-koroleva-zazerkale-(russia)(2018),Snezhnaya koroleva. Zazerkale,2018-12-21,,,,9456027.0,
unknown-distance-(documentary),Unknown Distance,2018-12-21,,,,,
silukkuvarpatti-singam-(india)(2018),Silukkuvarpatti Singam,2018-12-21,,,,405.0,
revenge-of-phantom-knight-the-(china)-(2018),The Revenge of Phantom Knight,2018-12-21,,,,23369.0,
padi-padi-leche-manasu-(india)-(2018),Padi Padi Leche Manasu,2018-12-21,,,,20916.0,
sukut-evi-(turkey)-(2018),SÃƒÂ¼kut Evi,2018-12-21,,,,262.0,
porno-para-principiantes-(uruguay)-(2018),Porno para principiantes,2018-12-21,,,,9848.0,
patrolman-baoyin-(china)-(2018),Patrolman Baoyin,2018-12-21,,,,100000.0,
last-resort-the-(documentary)-(2018),The Last Resort,2018-12-21,,,,,
national-theatre-live-antony-and-cleopatra-(2018)(uk),National Theatre Live: Antony & Cleopatra,2018-12-21,,,,891885.0,
maari-2-(india)-(2018),Maari 2,2018-12-21,,,,68392.0,
kanaa-(india)(2018),Kanaa,2018-12-21,,,,2999.0,
hugo-paco-luis-y-tres-chicas-de-rosa-(puerto-rico)-(2014),Hugo Paco Luis y tres chicas de rosa,2018-12-21,,,,100.0,
kurtlar-ve-cakallar-(turkey)-(2018),Kurtlar ve Ãƒâ€¡akallar,2018-12-21,,,,11593.0,
fabeltjeskrant-de-grote-dierenbos-spelen-(netherlands)(2018),Fabeltjeskrant: De Grote Dierenbos-Spelen.,2018-12-21,,,,728944.0,
connection-the-(china)-(2018),The Connection,2018-12-21,,,,3739582.0,
delaware-shore-(2018),Delaware Shore,2018-12-21,,,,,
dantza-(spain)-(2018),Dantza,2018-12-21,,,,262301.0,
d-p-a-detetives-do-predio-azul-2-o-filme-(brazil)-(2018),D.P.A. Detetives Do PrÃƒÂ©dio Azul 2 - O Filme,2018-12-21,,,,4432618.0,
between-worlds-(spain)-(2018),Between Worlds,2018-12-21,,,,,
antariksham-9000-kmph-(india)-(2018),Antariksham 9000 kmph,2018-12-21,,,,39040.0,
blue-amber-(china)-(2018),Blue Amber,2018-12-21,,,,25049.0,
ailo-une-odyssee-en-laponie-(france)-(2018),AÃƒÂ¯lo: Une odyssÃƒÂ©e en Laponie,2018-12-21,,,,1991200.0,
adanga-maru-(india)-(2018),Adanga Maru,2018-12-21,,,,30612.0,
tri-bogatyrya-i-naslednitsa-prestola-(russia)-(2018),Tri bogatyrya i Naslednitsa prestola,2018-12-20,,,,9343851.0,
bolshoi-ballet-the-nutcracker-(2018),Bolshoi Ballet: The Nutcracker,2018-12-21,,,,354373.0,
holmes-and-watson-(2018),Holmes & Watson,2018-12-25,,,42000000.0,41926605.0,
zanjas-(argentina)-(2017),Zanjas,2017-12-29,,,,570.0,
its-march-3rd-again-(china)(2018),ItÃ¢â‚¬â„¢s March 3Rd Again,2018-12-20,,,,1160000.0,
wedding-party-2-the-destination-dubai-(nigeria),The Wedding Party 2: Destination Dubai,2017-02-14,,,,73115.0,
sin-filtro-(chile),Sin Filtro,2017-12-29,,,,174.0,
yao-ling-ling-(china)-(2017),Yao Ling Ling,2017-01-05,,,,57628372.0,
politseyskiy-s-rublyovki-novogodniy-bespredel-(russia)-(2018),Politseyskiy s Rublyovki. Novogodniy bespredel,2018-12-20,,,,27061365.0,
parayi-bulduk-(turkey),ParayÃ„Â± Bulduk,2017-12-29,,,,16590.0,
napoli-velata-(italy),Napoli Velata,2017-12-29,,,,7197082.0,
klases-susitikimas-berniukai-sugrizta-(lithuania),KlasÃ„â€”s susitikimas: berniukai sugrÃ„Â¯Ã…Â¾ta!,2017-12-29,,,,1636978.0,
kalavaadiya-pozhuthugal-(india),Kalavaadiya Pozhuthugal,2017-12-29,,,,5317.0,
momo-(france),Momo,2017-12-29,,,,5181844.0,
gulu-mermaid-2-(china),Gulu Mermaid 2,2017-12-29,,,,1653264.0,
gandarrappido-the-revenger-squad-(philippines),Gandarrappido!: The Revenger Squad,2017-12-29,,,,21271.0,
fala-serio-mae-(brazil),"Fala SÃƒÂ©rio, MÃƒÂ£e!",2017-12-29,,,,11616161.0,
echange-des-princesses-l-(france),L'ÃƒÂ©change des princesses,2017-12-29,,,,3078723.0,
okka-kshanam-(india),Okka Kshanam,2017-12-29,,,,1516.0,
forget-about-nick-(germany),Forget About Nick,2017-12-29,,,,41963.0,
come-un-gatto-in-tangenziale-(italy)-(2017),Come Un Gatto in Tangenziale,2017-12-29,,,,11282642.0,
seuwingkizeu-(south-korea)-(2018),Seuwingkizeu,2018-12-21,,,,10903259.0,
capri-revolution-(italy)-(2018),Capri-Revolution,2018-12-20,,,,828363.0,
maya-(france)(2018),Maya,2018-12-19,,,,130997.0,
mayakwang-(south-korea)-(2018),Mayakwang,2018-12-19,,,,14446477.0,
nachtwacht-de-poort-der-zielen-(belgium)-(2018),Nachtwacht: De Poort der Zielen,2018-12-19,,,,198335.0,
empereur-de-paris-l-(france)-(2018),L'Empereur de Paris,2018-12-19,,,,8628811.0,
gendre-de-ma-vie-le-(france)-(2018),Le gendre de ma vie,2018-12-19,,,,3623355.0,
amici-come-prima-(italy)-(2018),Amici come Prima,2018-12-19,,,,9367230.0,
zhong-guo-he-huo-ren-2-(china)(2018),Zhong Guo He Huo Ren 2,2018-12-18,,,,3004460.0,
mary-poppins-returns-(2018),Mary Poppins Returns,2018-12-19,,,130000000.0,348901032.0,
christmas-carol-a-(2018),A Christmas Carol,2018-12-16,,,,,
wedding-the-(egypt)-(2018),The Wedding,2018-12-14,,,,2513.0,
yo-kai-watch-movie-5-forever-friends-(japan)-(2018),Yo-kai Watch Movie 5: Forever Friends,2018-12-14,,,,10441722.0,
volver-a-boedo-(documentary)-(argentina)-(2018),Volver a Boedo,2018-12-14,,,,16032.0,
yuli-(spain)-(2018),Yuli,2018-12-14,,,,4326104.0,
turtle-odyssey-(oz)(2018),Turtle Odyssey 3d,2018-12-14,,,,141256.0,
three-words-to-forever-(philippines)-(2018),Three Words to Forever,2018-12-14,,,,17076.0,
trote-(spain)(2018),Trote,2018-12-14,,,,6538.0,
that-way-madness-lies-(2018)-(documentary),That Way Madness Lies,2018-12-14,,,650000.0,,
vida-que-te-agenciaste-la-(argentina)-(2018),La vida que te agenciaste,2018-12-14,,,,63.0,
there-will-be-ample-time-(china)-(2018),There Will Be Ample Time,2018-12-14,,,,9135.0,
stolen-fariytales-(china)-(2018),Stolen Fairytales,2018-12-14,,,,5197.0,
cat-kapi-ask-(turkey)-(2017),Ãƒâ€¡at Kapi Ask,2017-12-29,,,,36969.0,
skjelvet-(norway)-(2018),Skjelvet,2018-12-14,,,,4052408.0,
caffe-(italy),CaffÃƒÂ¨,2017-02-09,,,,157683.0,
seethakaathi-(india)-(2018),Seethakaathi,2018-12-14,,,,10103.0,
balloon-(india),Balloon,2017-12-29,,,,2186353.0,
barkley-(taiwan),Barkley,2017-12-29,,,,1926435.0,
basmati-blues,Basmati Blues,2017-02-09,30.0,2.7,,15651.0,0.0
asya-(france),ASYA,2017-12-29,,,,2.0,
anons-(turkey)-(2017),Anons,2017-12-29,,,,24879.0,
aruvi-(india),Aruvi,2017-12-29,,,,863.0,
dvizhenie-vverkh-(russia),Dvizhenie Vverkh,2017-12-28,,,7800000.0,61925449.0,
er-dai-yao-jing-(china),Er Dai Yao Jing,2017-01-05,,,,46154324.0,
1987-when-the-day-comes-(south-korea),1987: When the Day Comes,2017-12-18,,,,51775357.0,
qian-ren-3-yan-zhi-da-zuo-zhan-(china),Qian Ren 3: Yan Zhi Da Zuo Zhan,2017-12-29,,,,307547824.0,
revenge-girl-(japan),Revenge Girl,2017-12-23,,,,1302754.0,
phantom-thread,Phantom Thread,2017-12-25,90.0,7.7,35000000.0,47812199.0,2.0
berliner-philharmoniker-new-year-s-eve-concert-(2017),Berliner Philharmoniker: New Year's Eve Concert,2017-12-29,,,,83045.0,
yao-mao-zhuan-(china)-(2017),Yao Mao Zhuan,2017-12-22,,,,97033612.0,
all-the-money-in-the-world,All the Money in the World,2017-12-25,72.0,6.4,50000000.0,56890649.0,2.0
tri-bogatyrya-i-printsessa-egipta-(russia),Tri Bogatyrya i Printsessa Egipta,2017-12-22,,,,14184772.0,
tout-la-haut-(france),Tout lÃƒÂ -haut,2017-12-22,,,,2354121.0,
tiger-zinda-hai-(india),Tiger Zinda Hai,2017-12-22,,,,76520376.0,
velaikkaran-(india),Velaikkaran,2017-12-22,,,,9886215.0,
second-time-around-the-(canada),The Second Time Around,2018-12-14,,,,,
paris-opera-ballet-tribute-to-jerome-robbins-(france)(2018),Paris Opera Ballet: Tribute To Jerome Robbins,2018-12-14,,,,5259.0,
painted-skin-the-double-mask-(china)-(2018),Painted Skin: The Double Mask,2018-12-14,,,,468683.0,
mochila-de-plomo-(argentina)-(2018),Mochila de plomo,2018-12-14,,,,4955.0,
yolki-novye-(russia)-(2017),Yolki novye,2017-12-22,,,,15738222.0,
mule-the-(2018),The Mule,2018-12-14,,,50000000.0,173453994.0,
odiyan-(india)-(2018),Odiyan,2018-12-14,,,,79385.0,
miamor-perdido-(spain)-(2018),Miamor perdido,2018-12-14,,,,1562666.0,
met-opera-la-traviata-(2018),Met Opera: La Traviata,2018-12-14,,,,410916.0,
ming-wang-xing-shi-ke-(china)-(2018),Ming wang xing shi ke,2018-12-14,,,,83081.0,
man-who-stole-banksy-the-(italy)-(2018),The Man Who Stole Banksy,2018-12-14,,,,89674.0,
keepers-of-the-flame-(ireland)-(2018),Keepers of the Flame,2018-12-14,,,,1361.0,
journal-64-(denmark)-(2018),Journal 64,2018-12-14,,,,226791.0,
jesucristo-superstar-un-hito-en-la-historia-del-musical-espanol-(spain)(2018),Jesucristo Superstar. Un hito en la historia del musical espaÃƒÂ±ol,2018-12-14,,,,10.0,
johnny-(india)(2018),Johnny,2018-12-14,,,,248.0,
holding-hands-(china)-(2018),Holding Hands,2018-12-14,,,,5356.0,
haru-matsu-bokura-(japan)-(2018),Haru Matsu Bokura,2018-12-14,,,,1302229.0,
impulso-(france)-(2018),Impulso,2018-12-14,,,,2580.0,
eoleuni-doimyeon-(south-korea)-(2018),eoleuni doimyeon,2018-12-14,,,,27150.0,
if-beale-street-could-talk-(2018),If Beale Street Could Talk,2018-12-14,,,12000000.0,21398371.0,
den-pobedy-(germany)-(2018),Den' Pobedy,2018-12-14,,,,2324.0,
dragon-ball-super-broly-(japan)-(2018),Dragon Ball Super: Broly,2018-01-16,,,8500000.0,122747755.0,
first-time-the-(china)-(2018),The First Time,2018-12-14,,,,62950.0,
conversazioni-atomiche-(italy)-(2018),Conversazioni Atomiche,2018-12-14,,,,2116.0,
da-xiang-xi-di-er-zuo-(china)-(2018),Da xiang xi di er zuo,2018-03-08,,,,14702.0,
spindl-(cz),Spindl,2017-12-22,,,,2277204.0,
sakka-podu-podu-raja-(india),Sakka Podu Podu Raja,2017-12-22,,,,1944.0,
romans-(uk),Romans,2017-12-22,,,,2741.0,
chun-tian-de-ma-la-song-(china)-(2018),Chun Tian De Ma La Song,2018-12-14,,,,1371255.0,
rangreza-(pakistan),Rangreza,2017-12-22,,,,56979.0,
seven-fright-nights-(2017),Seven Fright Nights,2017-12-22,,,,94532.0,
promesse-de-l-aube-la-(france),La promesse de l'aube,2017-12-22,,,,9181824.0,
muumien-joulu-(finland),Muumien joulu,2017-12-22,,,,515414.0,
post-the,The Post,2017-12-22,,,50000000.0,179769457.0,
quizas-hoy-(argentina)-(2016),QuizÃƒÂ¡s hoy,2017-12-22,,,,282.0,
mult-v-kino-vypusk-no-65-(russia),Mult v Kino: Vypusk No. 65,2017-12-22,,,,56677.0,
miseinen-dakedo-kodomo-janai-(japan),Miseinen dakedo kodomo janai,2017-12-22,,,,5146046.0,
mollys-game,MollyÃ¢â‚¬â„¢s Game,2017-12-25,71.0,7.4,30000000.0,53296424.0,2.0
lesa-humanitat-(spain),Lesa Humanitat,2017-12-22,,,,2216.0,
martilarin-efendisi-(turkey),MartÃ„Â±larÃ„Â±n Efendisi,2017-12-22,,,,199953.0,
hotel-infierno-(argentina),Hotel Infierno,2017-12-22,,,,3784.0,
huisvrouwen-bestaan-niet-(netherlands),Huisvrouwen Bestaan Niet,2017-12-22,,,,3239032.0,
jing-hun-qi-you-(china),Jing hun qi you,2017-12-22,,,,114402.0,
hostiles-(2017),Hostiles,2017-12-22,,,50000000.0,36976336.0,
hello-(india-2017),Hello,2017-12-22,,,,4394131.0,
gordon-and-paddy-(sweden)-(2017),Gordon & Paddy,2017-12-22,,,,96264.0,
garde-alternee-(france),Garde alternÃƒÂ©e,2017-12-22,,,,3907930.0,
dus-kirginlari-(turkey),DÃƒÂ¼s Kirginlari,2017-12-22,,,,2510.0,
cbeebies-christmas-show-thumbelina-the-(uk)-(2018),The CBeebies Christmas Show: Thumbelina,2018-12-14,,,,274407.0,
father-figures,Father Figures,2017-12-22,22.0,7.6,25000000.0,21038441.0,2.0
bon-bini-holland-2-(netherlands)-(2018),Bon Bini Holland 2,2018-12-14,,,,8664726.0,
beyond-white-space-(2018),Beyond White Space,2018-12-14,,,,,
bana-bir-soygun-yaz-2-(turkey)-(2018),Bana Bir Soygun Yaz 2,2018-12-14,,,,182040.0,
bhajjo-veero-ve-(india)-(2018),Bhajjo Veero Ve,2018-12-14,,,,103289.0,
hangman-(2017),Hangman,2017-12-22,,,,104503.0,
antidote-(2018),Antidote,2018-12-14,,,,,
andre-rieu-s-sydney-town-hall-concert-an-australian-celebration-(australia)-(2018),Andre Rieu's Sydney Town Hall Concert - An Australian Celebration,2018-12-14,,,,2806603.0,
singsu-(2018-thailand),Singsu,2018-12-13,,,,,
maine-(2018),Maine,2018-12-13,,,,,
why-are-we-creative-the-centipedes-dilemma-(germany)-(2018),Why Are We Creative: The Centipede's Dilemma,2018-12-13,,,,95567.0,
il-testimone-invisibile-(italy)-(2018),Il Testimone Invisibile,2018-12-13,,,,6750631.0,
ask-bu-mu-(turkey)-(2018),AÃ…Å¸k Bu mu?,2018-12-14,,,,60183.0,
khrustal-(belarus)-(2018),Khrustal,2018-12-13,,,,63603.0,
owarani-hito-miyazaki-hayao-(japan)-(2016),Owarani hito Miyazaki: Hayao,2018-12-13,,,,,
bumblebee,Bumblebee,2018-12-21,66.0,6.9,102000000.0,465195589.0,1.0
bird-box-(2018),Bird Box,2018-12-13,,,19800000.0,,
beau-voyou-un-(france)-(2018),Un beau voyou,2018-12-13,,,,501368.0,
photographer-the-(china)-(2018),The Photographer,2018-12-12,,,,3042381.0,
spider-man-into-the-spider-verse-3d-(2018),Spider-Man: Into The Spider-Verse 3D,2018-12-14,,,90000000.0,375084923.0,
roma-(2018),Roma,2018-11-21,,,15000000.0,1109544.0,
gaelic-curse-the-(ireland),The Gaelic Curse,2018-12-12,,,,,
pachamama-(france)-(2018),Pachamama,2018-12-12,,,,1866211.0,
remi-sans-famille-(france)-(2018),RÃƒÂ©mi sans famille,2018-12-12,,,,7395953.0,
deadman-standing-(2018),Deadman Standing,2018-12-11,,,,,
dawning-(china)-(2018),Dawning,2018-12-11,,,,16504.0,
dr-huang-danian-(china)-(2018),Dr. Huang Danian,2018-12-12,,,,1420000.0,
downsizing,Downsizing,2017-12-22,63.0,5.3,68000000.0,54462971.0,2.0
doctor-who-twice-upon-a-time-(uk),Doctor Who: Twice Upon A Time,2017-12-22,,,,223498.0,
